,X,Y,Z,DOF 1 Displacement,DOF 2 Displacement,DOF 3 Displacement,DOF 4 Displacement,DOF 5 Displacement,DOF 6 Displacement,DOF 1 Force,DOF 2 Force,DOF 3 Force,DOF 4 Force,DOF 5 Force,DOF 6 Force
72,-0.06330000000000001,0.22825,0.0,2.229338539255409e-05,-5.375310525713436e-05,2.413281127207828e-06,7.424389033902222e-08,5.99444336622793e-06,4.0855296103666855e-05,-7.275957614183426e-12,1.0913936421275139e-11,1.8189894035458565e-12,-8.881784197001252e-15,-1.509903313490213e-14,7.105427357601002e-14
73,-0.06963000000000001,0.251075,0.0,2.3442433427151896e-05,-5.44001260480568e-05,2.371150670320658e-06,-1.1668972746457871e-07,7.307497906018652e-06,3.78329466741119e-05,7.275957614183426e-12,-9.094947017729282e-13,1.8189894035458565e-12,-3.019806626980426e-14,-5.773159728050814e-15,3.552713678800501e-15
74,-0.07596,0.27390000000000003,0.0,2.4508490305384312e-05,-5.50701625682144e-05,2.3281519932832074e-06,-5.58664405554991e-07,8.550931858224871e-06,3.358334373868249e-05,-3.637978807091713e-12,-3.637978807091713e-12,5.4569682106375694e-12,2.3092638912203256e-14,1.3322676295501878e-15,-3.552713678800501e-15
75,-0.08229,0.296725,0.0,2.5463543965979757e-05,-5.577098333229937e-05,2.2904558066159504e-06,-1.2516801439339359e-06,9.72474522284616e-06,2.81064872973779e-05,3.637978807091713e-12,1.4551915228366852e-11,5.4569682106375694e-12,-4.263256414560601e-14,-3.552713678800501e-15,-2.842170943040401e-14
76,-0.08862,0.31955,0.0,2.627958234766663e-05,-5.651035685500391e-05,2.2642328208393905e-06,-2.1957369426015352e-06,1.0828937999882115e-05,2.1402377350198315e-05,-7.275957614183426e-12,1.8189894035458565e-12,9.094947017729282e-12,-1.0658141036401503e-14,-5.329070518200751e-15,-9.947598300641403e-14
77,-0.09495,0.34237500000000004,0.0,2.6928593389173332e-05,-5.7296051651020194e-05,2.255653746474046e-06,-3.39083480155909e-06,1.1863510189332748e-05,1.3471013897143722e-05,-1.0913936421275139e-11,-1.4551915228366852e-11,3.637978807091713e-12,-3.2862601528904634e-14,-1.1546319456101628e-14,8.704148513061227e-14
78,-0.10128000000000001,0.3652,0.0,2.738256502922823e-05,-5.81358362350404e-05,2.2708892940404645e-06,-4.836973720807888e-06,1.2828461791197766e-05,4.31239693821082e-06,7.275957614183426e-12,-5.4569682106375694e-12,5.4569682106375694e-12,-3.907985046680551e-14,-3.1086244689504383e-15,-1.545430450278218e-13
79,-0.10761000000000001,0.388025,0.0,2.7613485206559665e-05,-5.903747912175674e-05,2.3161101740592186e-06,-6.5341537003484035e-06,1.3723792805476966e-05,-6.073473526598329e-06,-3.637978807091713e-12,1.8189894035458565e-12,1.8189894035458565e-12,1.5987211554602254e-14,-2.6645352591003757e-15,-3.197442310920451e-14
80,-0.11394000000000001,0.41085000000000005,0.0,2.759334185989599e-05,-6.000874882586144e-05,2.3974870970509016e-06,-8.482374740182046e-06,1.4549503232170196e-05,-1.7686597497286656e-05,-7.275957614183426e-12,-1.8189894035458565e-12,9.094947017729282e-12,1.509903313490213e-14,4.440892098500626e-16,-3.2862601528904634e-14
81,-0.12027000000000002,0.43367500000000003,0.0,2.729412292796551e-05,-6.105741386204669e-05,2.521190773536131e-06,-1.0681636840309682e-05,1.530559307127703e-05,-3.052697497385417e-05,0.0,1.8189894035458565e-11,-1.8189894035458565e-12,-1.687538997430238e-14,1.9984014443252818e-15,3.019806626980426e-14
82,-0.14149,0.43711,0.00375,2.8072382676971784e-05,-6.12748520808778e-05,2.014636191519519e-06,-5.410665436002095e-06,1.7451749027780887e-05,-2.6313613731970058e-06,-2.7284841053187847e-12,-2.2737367544323206e-12,4.263256414560601e-13,-3.1086244689504383e-15,-1.5543122344752192e-15,-1.7763568394002505e-14
83,-0.15638,0.41772000000000004,0.0075,2.8678802876248973e-05,-5.973720679732125e-05,1.4584221281688781e-06,1.5669588587579014e-06,1.8673615751589232e-05,3.514940802194614e-05,-9.094947017729282e-13,-4.547473508864641e-13,0.0,2.6645352591003757e-15,2.220446049250313e-15,-9.992007221626409e-15
84,-0.17126999999999998,0.39833,0.01125,2.8589066966152005e-05,-5.7643372638396204e-05,1.0138714847686105e-06,7.800932883546514e-06,1.9657662494221637e-05,6.874770222913352e-05,0.0,1.3642420526593924e-12,3.410605131648481e-13,7.771561172376096e-16,-8.326672684688674e-16,2.6645352591003757e-15
